utterance,stance
That's a terrible idea.,negative
You matter.,positive
"Earlier you told me that my idea was stupid. That's pretty rude, don't you think?",negative
You were right.,positive
Thanks for your input. I didn't ask.,negative
"Yeah, I respect that.",positive
I think you are smart.,positive
You really do light up the room.,positive
"That's fair, I guess.",neutral
"I thought that would make things worse, but somehow you made it better.",positive
You remembered I hate cilantro? That means a lot to me.,positive
You really did that? Why would you do that?,negative
I would be mad too. If I were irrational.,negative
My name is not Susan.,neutral
Guess we'll see what happens.,neutral
I can't believe they hired me.,neutral
"You know, that kind of made my day.",positive
You're so thoughtful.,positive
You did what? That's unbelievable.,neutral
I feel so betrayed by him.,neutral
That color looks great on you,positive
"You did great, there's a first time for everything.",negative
I have to thank you for saying that.,positive
She would make a great comedian.,neutral
Can you sing?,neutral
"So many opinions, so few of them useful.",negative
"That was better than I expected, barely.",negative
You're the worst. Never change.,negative
She threw her drink at you? That’s hilarious.,negative
"You didn’t mean to, right?",neutral
"Amazing effort, you waited until midnight to start your part of the project.",negative
You arrived only thirty minutes late again. Not bad considering your record.,negative
He can't dance for shit.,neutral
I can see why people like you.,positive
You're crazy.,negative
I wish you would leave.,negative
Was that supposed to help?,negative
That's annoying.,neutral
You did your best.,positive
"It sort of worked, I think.",neutral
"Whatever, I'm sorry.",neutral
I'm really happy about that. You deserve it,positive
I used to think you were smarter.,negative
"I’m not saying I’m offended, but that was unexpected.",neutral
Why?,neutral
He interrupted me.,neutral
That’s not like you.,neutral
Could you repeat that?,neutral
Thank you so much for your feedback.,positive
Your narcissim is unreal.,negative
That's an annoying thing to say.,negative
You always do this. It's one of the reasons I like you.,positive
How do you know my name?,neutral
What's wrong with that? Like you could do any better.,negative
"It shouldn't have worked, but it totally did.",neutral
Great joke.,positive
I told them I didn't need to know that.,neutral
You're giving me a headache. Thanks.,negative
"Well done, you forgot the tickets and now the show is sold out.",negative
Your idea to put chili flakes in the hot chocolate was an interesting choice and it turned out great.,positive
You sound kind of sad.,neutral
Irrelevant.,negative
"Whatever, it's fine.",neutral
